app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(369,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(370,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(372,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(377,58): error TS7006: Parameter 'value' implicitly has an 'any' type.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(381,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(382,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(385,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(387,33): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(387,111): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(390,33): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(390,104): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(416,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(417,42): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(417,95): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(418,44): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(418,99): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(419,40): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(419,91): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(420,42): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(420,95): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(421,44): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(421,99): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(423,29): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(424,33): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(424,136): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(425,52): error TS7006: Parameter 'post' implicitly has an 'any' type.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(426,37): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(427,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(428,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(428,62): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(429,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(429,67): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(430,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(430,65): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(431,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(431,79): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(432,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(433,64): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(433,135): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(434,67): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(434,148): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(435,80): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(435,149): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(436,37): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(438,29): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(441,29): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(442,33): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(442,135): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(443,56): error TS7006: Parameter 'preview' implicitly has an 'any' type.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(444,37): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(445,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(445,44): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(445,94): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(445,120): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(446,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(446,159): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(447,37): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(449,29): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
